dialect,literary
abzal,afzal
avʼzlamaq,
avʼrtmaq,
aydʼn,1. oydin ; 2. kulnig qamishsiz chukur joyi
ayiq,uygʼoq; tetik
ayʼl,korinbog 
ayʼlmaq,Xushga kelmoq
ayʼrmaq ,1. ayirmoq 
ayʼt,xayit:
ayqalʼ-uyqali,ayqash-uyqash
aylanjiq,aylanch.
aylanma,1. suvning
aylanch ,1. aylanma
aymaq,1. tuzatmoq tartibga solmoq; 2. tartibga chaqirmoq. jazolamoq: 3. davolamoq
ayna,
ayraliq,ayriliq
ayrʼt ,1. ochiq; dadil
aqqin,suvning kuchli
aqlav,1- oqalav.
aklʼ-qaralʼ,
aqliq 1,1. yaxshilik: 2. qiznikidasovchilarga beriladigan tortiq; 3. biror kishining ulganiga yil tulgach
aqliq 2,1. tomizgʼi
aqtʼq,
ala,
alantʼrmaq ,olaytirmoq: 
alan ,1. bekor yotgan yer
alatʼrmaq,
alacha,yung yoki paxta solib tikilgan tushak.
albʼramaq ,alvʼramaq.
alvʼramaq,1. valdiramoq
alʼshtʼriq,
alma,olma: almalыq - olmazor; bash- urdakңing bir turi.
almʼt,10. olmurut
alchaq,epchil. chaqqon
aman,omon
andʼmak,3 - andʼmaq.
andu:chʼ,aңdu : chь
aqal,1. Urgenchqning katta turi (tishsiz) 
aqarmaq 1,1. boshqarmoq: bьr өjәknь aңaralmadʼңav
aqarmaq 2,darrov tushunmoq tez anglamok:
aqarmak3,alanglamoq.
aqdʼmaq ,
andu:chʼ,poyloqchi: josus
aqiz,1. ekin oligandan keyin bush qolgan yer; 2. ekilmay qolgan yaroqlier.
aqir,nargi: qovunnʼ aңыrsʼnnan al (Bogot
aqirmaq,xangramoq
aqlamaq,1. tushunmoq
apa,oyi(uz tuqqan onasi);
apaya,opa-singil;
apayali,opa-singilli:
apparmaq,
aran,molxona
ara ,ora
aralamaq,yarashtirmoq
arachʼlamaq ,1-aralamaq
arba,arva
argʼa,arqoq.
argʼi ,narigi
ardana,bolmoq
arja,1. archa; 2. kichik sandik 
arzaqlamaq ,ardoqlamoq
arza ,1.ariza ; 2.Xiv 
ari-bәri ,nariberi.
arigʼ ,1.toza
arʼlmaq,tozalanmoq
arʼtmaq,tozalamoq
arʼsh,arava shotisi
aryaq,aryan
aryan ,narigi tomoi u yoq
arqa,1. orqa 2. shimol
arqav,
arqayʼn,
arqalʼ,1. Kumakchisi bor (odam); 2. jinparilari bilan aloqa qiluvchi
arqaliq,1. tirkish (ikki uchi aravaning ikki shotisiga bogʼlanib
arqan ,ip
arqanlʼq ,
armʼt ,
arna,anxor
arriq ,oriq
arromal ,Qizil rumol 
artiqmach,ortiq
aru:,guzal
archa,
as,foyda bermoq
asʼl-asʼl,1. uzini osib uldirish kasali 
astan,
әvәlәmәn,"bolalar oʼyinida aytiladigan qoʼshiq""ning boshlanishi"
әvәrәk,buloqi
әvәch,1. ikki yashar qoʼy
әvdik,mayda
әvirdәk, oʼrdak
әvmәr,anqov
әvrindi,yevrьndь
әvsәrәq,sarson
әgirmәk,әyьrmәk
әgʼrt I,yakansimon oʼsimlik
әgri-үgri,әyrь-үyrь
әglәmәk,әylәmәk
әglәnmәk,yeylәnmәk
әdik,etik
әdra,past-balandlik
әdrәmkәsh,"1. bangi; parvoyi-palak_x000D_
2. katta juvoldiz"
әdrәsmәn,isiriq
әzәli,azaliy
әyә,ega
әyәr,yeyәr
әyiz,әki:z
әyәrlәmәk,egarlamoq
әyin,yelka
әyirmәk,yigirmoq
