abajon,voydod
abgor,kambagʻal
adan,poygah
adi,edi
adik,etik
adiyol,koʻrpa
ajab,xo‘b. mayli
aji-buji,g‘alati
ajina,jin
ajiz,zaif
ak,ohak
aka,dada
akan,ekan
akin,ekin
akizak,egizak
akish,ekish
akkal,olib kel
akkelmoq,olib kel
akmoq,ekmoq
aksina,teskarisiga
akslik,qaysarlik
al,qoʻl
alamoq,elamoq
alak,elak
alam,dard-u alam
alashtirmoq,aybga buyurmoq
alangga,guruch turi
aldi,old tomoni
aldikcha,biror-bir yumush qilishda kiyim kir boʻlmasligi uchun taqib qoʻyiladigan matodan tikilgan
aldicha,biror-bir yumush qilishda kiyim kir boʻlmasligi uchun taqib qoʻyiladigan matodan tikilgan
atak,biror-bir yumush qilishda kiyim kir boʻlmasligi uchun taqib qoʻyiladigan matodan tikilgan
aldin,oldin
aldingisi,avvalgisi
alimin,alyuminiy
alip,arab alifbosidagi birinchi harf. Koʻchma ma’noda bilim
alipbe,alifbo
allagʻaloy,yaxshi
alli,ellik
amdolli,Hamd Alloh
amdarmon,ovora
amizmaq,emizmoq
amjak,ayotlar koʻksidagi bir juft sut bezi
ana,buvi
anaka,enaga
anaqoʻy,qizlarni erkalash uchun qoʻllaniladigan soʻz
anoyi,anoyi
anaxotin,onaxotin
anaquti,onaxotin
andiratma,zinapoya
andiratmoq,shoshirmoq
andik,jirkanish
anjir shoptoli,shaftoli turi
annap,chilon jiýda
annapida,chilon jiýda
annapchiya,chilon jiýda
annaqjiyda,chilon jiýda
antipris,antifriz
anuv,anavi
anyaqo,u yoqqa
anzurt,noyob
anzurut,noyob
ap,ep
apandi,afandi
apashlamoq,chtiyot qilmoq
apashaklamoq,chtiyot qilmoq
apiris,oʻz manfaati uchun odamlarni aldab oʻz yoʻliga soladigan
apka,opa
appiyi,opa
apcha,opa
apkaldi,olib kelmoq
akkaldi,olib kelmoq
apkildi,olib kelmoq
apkin,shabada. shamol. yengil. mayin shamol
aplama,naridan-beri
aplamoq,eplamoq
apli,epli
appar,olib ber
apparibar,olib ber
appermak,olib bermoq
apsiz,epi yoʻq
apt,aft
aptodo,eski-tuski
ar,er
arapcha,arabcha
aravlivarma,tentirama
alavlivarma,tentirama
arganak,himoya ustunlari
aryanak,himoya ustunlari
ari,ayiruv-chegaralov yuklamasi oʻrnida qoʻllanadi
ori,ayiruv-chegaralov yuklamasi oʻrnida qoʻllanadi
arimak,dard. alam arishi
orimoq,dard. alam arishi
arik,oʻrik
arinmak,erinchoqlik qilmoq
erinmoq,erinchoqlik qilmoq
arinjak,erinchoq
artang,ertang
arzimoq,arzimaydi
asa,esa bogʻlovchisi oʻrnida qoʻllanadi
asabbuzar,kimningdir haddan ortiq asabiga tegmoq
asamat,Bogʻot tumanidagi qishloq nomi.
asana,nega
asar,ta’sir
asangiramak,esankiramooq
asirak,maqtanchoq
asirmak,kalondimogʻ
assalom,assalomu aleykum
assammakim,assalomu alaykum
asvalt,aspfalt
atmak,qilmoq
avarak,buloqi
avashi,koʻrinishi yoqimsiz
ay,hey
ayar,agar
aylanmoq,sayr qilmoq
ayqosh-uyqosh,algʻov- dalgʻov
ayron,ayron
eyron,ayron
aron,ayron
ayri-bugri,egri-bugri
ayyom,allaqachon
eyyom,allaqachon
azik,ezilgan
azma,ezma
azmalamoq,ezmalamoq
ashak,eshak
ashqol-dashqol,har turdagi algʻov-dalgʻov
ashunchakki,shunaqa
ovinchakki,shunaqa
oshundin,shunaqa
ashshadaroz,haddan tashqari novcha va uzun
eshshadaroz,haddan tashqari novcha va uzun
achuv,achchiqlanmoq
angak,iyak
angsa,orqa miya joylashgan qism
obodoʻq,sochga taqiladigan ziynat buyumi
objoʻsh,kishmish turi
od,ot
odogʻli,obroʻli obroʻga ega boʻlgan
odogʻlomoq,unashtirmoq
odom,odam
odoq-odoq,goʻdakni yurishga oʻrgatish
odosh,adash
odoshmoq,adashmoq
odim,qadam
odimlomoq,yura boshlamoq
odiqqon,shuhrat qozongan
oji,achchiq
ojjiburch,achchiq qalampir
ojji-suji,achchiq-chuchuk
ojimsi,achimsiq
ojiqo,yoz paytida qish uchun gʻamlab pishiriladigan achchiq taom
ojiriq,boshoqdoshlarga mansub koʻp yillik serildiz yovvoyi achchiq oʻt
olo,oq-qora
olo,tekis boʻImagan
oloboʻji,afsonaviy qoʻrqinchli maxluqot
olopo'to,o'simlik turi
oloytirmoq,olaytirmoq
olong,bekor yotgan yer
oldomo,aldama
oldom-qoldom,yolg'on gapiruvchi inson
oldoqchi,yolg'onchi
olishtiriq,olovni yoqib yuborish uchun mo'ljallangan bir bo'lak narsa
olishtiroq,olovni yoqib yuborish uchun mo'ljallangan bir bo'lak narsa
olishtirmoq,olishtirmoq – biror kishiga yoki jamoaga oʻrganishib ketmoq
olmurut,nokning bir turi
olpadim,olgan edim
oltoxto,eshak aravaning old qismi
omonliq,tinchlik-totuvlik
omoso,omon-sogʻ
omosogʻ,eson-omon
onqov,esi past
onqilbens,hamma narsa aralash-quralash tarzda qilingan taom
ont,qasam
ontenno,sim
ontiqo,gʻalati
opaya,opa-singil
opo,oyi
opobiyi,katta opa
opoq,tuzuk
opil-topil,shoshilinch
optiromoq,gangib qolmoq
opchin,kiyim-kechak
oqorsuv,suvning toza boʻlib oqib turadigan joyi
oqboliq,oqbaliq
oqilavar,aql oʻrgatadigan kishilarga nisbatan ishlatiladi
oqliq,oqliq
oqnovot,yozgi qovun navi
oqqolmoq,olib qolmoq
orolomoq,ikki janjalkashni ajratib qoʻymoq
oroqsovun,atir sovun
oroyish,shevada osoyishtalik ma’nosida ishlatiladi
ordoqlomoq,ardoqlamoq
ordoqli,ardoqli
ori,ari
orno,katta ariq
orqo,gavdaning qoringa nisbatan ters tomoni
orqoli,tayanchli
orqoyin,shoshmaydigan
orqoshmoq,orqasiga mindirib koʻtarmoq
oqoshoklomoq,orqasiga mindirib koʻtarmoq
orqindi,kirsovunning qoldig‘i
orrig‘,ozg‘in
orriq,ozg‘in
ort,tozala ma‘nosida
ortiqmoch,ortiq
ortinmoq,tozalanmoq
ortishtirmoq,tejamoq
osil,eng yaxshi
osiq,osig‘liq
osmoduziy,ayollarning peshona
osmoloq,xafa bo‘lganda ishlatiluvchi so‘z
osmoq,ovqatgaunnamoq
osmosho‘rvo,ko‘p vaqt davomida go‘shting suyak qismi ajratib olib
oston,sekin
ostonchi,sekin harakat qiluvchi inson
ostor,mato turi
ostordesh,yupqa chopon
otoliq,otaliq
otomogayan,salbiy maʿno ifodalovchi soʿz
otonoqlomoq,kichkina bolaning yurishga harakat qilishi
otonmoq,shuhrat qozonmoq
otoqorvo,bolani tezroq yurishga oʻrgatadigan anjom
otogʻiz,ombur
otbozor,tartibsiz holatdagi joy. Koʻchma ma’noda qoʻllangan
otil,atir
otiz,ekin maydoni
otashkil,cho‘g‘ kovlaydigan belkurak
otlomoq,hatlamoq
