Title,Meaning
Абдол,"Шайдо, тентак"
Абжўш,Маска навли узумни махсус эритмада иссиқ вақтида куйдириб майиз ҳолатига келтирилгани
Аваздунак,"Маҳалла номи. Ривоят қилишларича, Аваз исмли бир йигит қум этагида қовун экади. Сувсизлик туфайли экин тўлиқ пишмай қолади. Қовун хом бўлсада йигит уни хонга тортиқ қилади. –Нима бу? – хомлиги билиниб турган қовунни кўриб жаҳли чиқаркан. –Қовун, –дебди Аваз бамайлихотир. – Лекин пишмай қолган, сувсиз ўсган. –Қаерда яшайсан? У ерни Аваздунак, деб номлаймиз, – дебди хон."
Авваламан,Болалар ўйини
Авлиё,Адабий тилдаги бу сўз Хоразмда қабристон маъносида ҳам ишлатилади.
Авусаранг,"Овсар, паришонхотир"
Агизак,Эгизак
Агланмак (эйланмак),Кеч қолмоқ
Адан,Остона
Адан,"1. Чиқинди сув кетадиган чуқурча. 2. Ўтган давр хонадонларида аданда-дарвоза олдида қурилган хоналар эркакларга ажратилган, эркаклар уй соқчиси ҳисобланган. Тўрда–ичкарида қурилган хоналар хотин-қизларга аталган."
Адик,Этик
Адил,Одил
Ажаб,Хўп
Ажжи,Аччиқ
Ажиди,"Сут айниб қатиқ бўлаолмаган ҳолат, аммо пишлоқ қилса бўлади"
Ажиз,Заиф
Ажина,Жин
Ажир,Азоб
Ажойибхона,Музей
Азиб ичар,Бола бу нима деб эзмалаб сўрайверганда шундай жавоб берилади (эзиб ичадиган)
Азиб қўй,Кирни сувга солиб қўй
Азиб олиб сар,Кирларни сувга эзиб сиқиб олиш ва торга осиб қўйиш
Азик,Эзилган
Азилган,Бу одам эзилиб кетган
Азма,"Бир гапни қайта-қайта гапираверадиган, майда гап инсон."
"Айди, эйди (сигир)",Ийди (сигир)
Айланиб ўврилиб,Бир гапни қайта-қайта такрорлайвериш
айтдим).,nan
Ака,Ота
Акди,"1.Экди 2. Синдирди, нобуд қилди, кўкка совурди"
Акиш бошланди,Масалан чигит экиш бошланди
Аккалдила,Олиб келдилар
Акламоқ,"Девор, дарахтларни оҳак билан бўяш"
"Акмаган жойда гўкариб чиқади (белбоға галади,
ўроқа галади)","Бемаврид сўзлайди,"
Акс,Ўжар
Аксилмак,Камситилмоқ
Ал,Қўл
Ала,Элакдан ўтказ
Алавраб юрмоқ,Бошқалар наздида самарасиз ҳаракат қилиб юрган одам
Алакчилик,Элак ясайдиган усталар яшаган маҳалла номи
Алам,Қабристонларга тикиладиган алам рўмол
Алам атади,"Кўнгил қолиши (шу ишни вақтида қилмаганим алам қилади, кўнглимни ғаш қилади)"
Аламимни ола- ман,"Ўч оламан, аламзадаман"
Алас,Табобатда ишлатиладиган ҳар хил гиёҳларни чала ёнган тутинидан “алас-алас” қилинган. Бу одамларни ёмон рухлардан тозалаш мақсадида бажарилган.
Алаштирманг,Айбга буюрманг
